,2011,2012,2013,2014,2015,2016,2017
2841,4221,0,0,0,0,0,0
2842,3755,0,0,0,0,0,0
2843,2513,0,0,0,0,0,0
2844,367,0,0,0,0,0,0
2845,226,0,0,0,0,0,0
2846,212,0,0,0,0,0,0
2847,829,0,0,0,0,0,0
2848,1197,0,0,0,0,0,0
2849,998,0,0,0,0,0,0
2850,2838,0,0,0,0,0,0
2851,480,0,0,0,0,0,0
2852,1427,0,0,0,0,0,0
2853,2452,0,0,0,0,0,0
2854,273,0,0,0,0,0,0
2855,1610,0,0,0,0,0,0
2856,6399,0,0,0,0,0,0
2857,2116,0,0,0,0,0,0
2858,2524,0,0,0,0,0,0
2859,1142,1128,0,0,0,0,0
2860,1940,290,0,0,0,0,0
2861,1614,0,0,0,0,0,0
2862,3955,0,0,0,0,0,0
2863,505,0,0,0,0,0,0
2864,778,0,0,0,0,0,0
2865,360,0,0,0,0,0,0
2866,2221,0,0,0,0,0,0
2867,1595,0,0,0,0,0,0
2868,3015,0,0,0,0,0,0
2869,447,0,0,0,0,0,0
2870,1892,0,0,0,0,0,0
2871,91,0,0,0,0,0,0
2872,3629,0,0,0,0,0,0
2873,1873,0,0,0,0,0,0
2875,2168,0,0,0,0,0,0
2876,4371,305,0,0,0,0,0
2877,315,439,0,0,0,0,0
2878,1718,0,0,0,0,0,0
2879,2934,0,0,0,0,0,0
2880,3375,0,0,0,0,0,0
2881,227,0,0,0,0,0,0
2882,2702,0,0,0,0,0,0
2883,2678,136,0,0,0,0,0
2884,1326,0,0,0,0,0,0
2885,1852,0,0,0,0,0,0
2886,181,0,0,0,0,0,0
25618,0,0,920,0,5785,2989,5684
25619,0,0,1019,0,0,0,0
25620,0,0,3921,0,823,0,0
25621,0,0,953,1542,154,11,0
25622,0,0,7707,0,0,3360,0
25623,0,0,5983,24158,8641,4308,1381
25624,0,0,3331,3456,3287,4668,3574
25625,0,0,7289,0,0,0,0
25626,0,0,5538,7898,976,3127,1920
25627,0,0,1493,0,0,0,0
25628,0,0,3638,0,8050,0,1477
25629,0,0,2073,0,0,942,2213
25630,0,0,5124,11790,7179,14798,0
25631,0,0,4027,107,0,0,0
25632,0,0,2593,4206,8376,2799,668
34027,0,0,4560,2061,1078,0,929
46640,0,0,2769,8044,10055,6236,4499
46641,0,0,2839,0,2137,338,0
46642,0,0,3951,0,4836,0,0
46643,0,0,1920,0,0,0,0
46644,0,0,2861,237,3758,1270,3099
56467,0,0,591,0,0,0,0
56468,0,0,392,4722,6078,3613,0
56469,0,0,2573,0,91,1323,0
56471,0,0,8686,4380,6377,0,0
56473,148,1,2,734,0,2526,732
56474,265,0,0,0,0,0,0
56475,3868,0,11483,14064,0,1138,441
56476,1690,2006,4098,4245,0,0,0
56477,1616,1,2125,539,1067,2668,1060
56478,1919,3297,2627,941,1484,1691,2012
56479,892,1384,6413,2091,4126,3765,5825
56480,1517,1026,0,3564,4680,2102,2783
56481,771,3056,0,2525,0,0,0
56482,519,3900,2055,4996,2033,187,153
56483,1182,0,0,0,0,2,0
56484,1247,2976,0,0,0,0,0
56485,1527,35619,14771,3022,12482,3501,340
56486,1711,3128,4599,1,4857,203,0
56487,25,0,2528,0,0,0,0
56488,1382,0,3058,0,0,686,0
56489,912,281,0,0,0,0,0
56490,428,770,7212,3248,2531,368,509
56491,2943,8328,3827,0,4888,1685,942
56492,208,4363,2083,0,1,0,0
56493,6361,1,0,1229,0,0,2
56494,3319,7762,1,0,2824,156,0
